A1_2,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,D1,D2,D3,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32
US/Canada,Male,Undergraduate school,None,22,Asian,"Single, never married",Employed for wages,Yes,More than a month,A little,4,3,4,3,4,2,4,4,4,3,4,4,4,3,4,More than 3 years,"Adventure, RPG, Simulation, Strategy",Every week,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Asia,Female,Undergraduate school,A garden,23,Asian,"Single, never married",A student,Yes,More than a month,Worried,3,2,4,3,4,2,5,3,4,4,2,4,2,3,4,1-2 years,"Adventure, Simulation, Strategy, puzzle, trivia",Almost everyday,4,4,4,1,2,5,4,5,5,3,2,4,1,3,3,4,3,4,2,4,3,2,2,1,4,3,2,3,4,3,4,4,4,3,2,3,2,3,2,5,2,3,3,1,3,4,5,4,3,2,3,2,3,3,4,3,2,3,2,2
Asia,Female,High school,A garden,23,Asian,"Single, never married",A student,Yes,More than a month,Worried,3,4,3,3,4,2,4,3,4,4,4,4,3,3,4,More than 3 years,"Adventure, RPG, Strategy",Every week,4,4,3,3,3,5,5,5,5,4,3,4,2,2,3,3,2,2,3,4,4,4,3,2,4,4,2,3,4,4,4,5,4,5,1,3,2,4,1,4,2,5,4,2,4,4,4,5,3,2,2,1,3,3,4,4,1,4,2,2
Asia,Female,Graduate school and higher,A pet,31,Asian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Worried,3,3,3,3,3,3,5,3,3,3,5,5,3,3,5,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,2,2,3,3,3,3,3,3,2,3,1,3,1,1,2,2,2,2,2,2,3,2,3,1,1,3,1,2,2,2,3,3,2,3,1,1,1,1,1,2,2,3,2,1,1,1,2,3,1,1,2,1,2,2,2,2,1,2,1,1
Asia,Male,Graduate school and higher,A pet,21,Asian,"Single, never married",A student,Yes,More than a month,A little,1,4,3,3,1,4,1,4,1,3,1,4,3,4,1,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,2,3,3,3,2,3,4,4,3,3,4,4,3,2,3,4,2,4,3,2,2,1,3,3,2,3,3,2,3,2,2,3,2,3,1,2,3,3,2,3,2,2,2,3,2,3,2,2,1,2,1,1,2,1,2,1,1,2,2,1
Asia,Female,High school,A pet,27,Asian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Very worried,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,More than 3 years,"RPG, Simulation, Strategy, FPS",Every week,2,3,3,4,2,5,3,4,4,4,3,4,1,2,4,3,2,2,3,4,3,4,2,1,2,3,4,4,5,4,3,4,4,5,1,1,2,1,1,2,2,4,3,1,5,5,5,5,3,1,1,1,2,3,3,3,1,4,1,1
Asia,Male,Graduate school and higher,A garden,26,Asian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Worried,4,2,2,2,2,3,4,3,3,2,3,2,2,3,5,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,4,3,3,3,4,5,4,4,5,3,4,4,3,2,3,2,3,2,4,4,3,4,3,4,3,2,4,4,4,4,5,4,4,5,1,3,4,5,3,5,4,5,5,3,5,4,5,5,5,3,1,1,4,4,4,5,1,5,3,1
Asia,Female,High school,None,26,Asian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,A little,3,3,4,3,4,2,4,4,3,3,4,4,3,3,3,More than 3 years,"Action, RPG, Simulation, Sports",Every week,4,4,2,4,2,4,4,4,3,4,2,4,1,2,3,3,2,3,3,2,2,2,2,3,2,2,2,2,3,2,4,3,2,3,1,2,2,2,3,3,2,3,3,2,2,2,3,3,2,1,1,1,1,2,2,2,1,2,1,2
Asia,Male,Undergraduate school,None,20,Asian,"Single, never married",A student,No,No self-isolation/social distancing,Worried,3,3,4,2,4,1,3,4,5,3,4,3,4,1,4,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,4,4,3,2,2,5,4,3,4,4,2,3,2,1,2,2,2,4,3,3,2,2,3,4,4,4,4,4,4,4,3,5,5,5,1,3,1,3,2,5,4,4,3,2,4,5,3,5,5,1,1,1,3,2,4,4,2,3,2,1
Asia,Female,Undergraduate school,None,20,Asian,"Single, never married",Employed for wages,Yes,More than a month,Worried,5,4,5,1,5,1,5,4,5,5,5,5,5,5,5,More than 3 years,"Action, RPG, Simulation, Strategy",Everyday,4,4,2,3,4,5,5,3,3,4,1,4,1,1,2,4,2,1,4,2,2,1,1,1,4,4,4,4,5,5,5,5,5,5,1,3,1,5,1,5,4,5,5,1,5,5,5,5,3,1,1,1,5,4,5,5,1,5,1,1
